asdf_id,map_pf_incidence_rate.2020.mean,map_pf_incidence_rate.2019.mean,map_pf_incidence_rate.2018.mean,map_pf_incidence_rate.2017.mean,gpm_precipitation_v07b_yearly_mean.2020.mean,gpm_precipitation_v07b_yearly_mean.2019.mean,gpm_precipitation_v07b_yearly_mean.2018.mean,gpm_precipitation_v07b_yearly_mean.2017.mean,cru_ts_407_tmp_yearly_mean.2020.mean,cru_ts_407_tmp_yearly_mean.2019.mean,cru_ts_407_tmp_yearly_mean.2018.mean,cru_ts_407_tmp_yearly_mean.2017.mean,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
67,0.4967659464055424,0.4758806235172045,0.4671834081735693,0.3743249738434942,146.462375575,141.053458446,141.475621219,134.711305695,20.3448099643,20.5562674955,20.2838727435,20.772934075,ADM2,67,67,BDI,BDI-ADM2-21766830B91243165,Bugenyuzi,ADM2
68,0.47118884801438043,0.44251904620432647,0.4249123595759653,0.33492147657145477,134.341363172,135.149071545,136.769097408,125.331647507,19.5446081867,19.7465689466,19.502451453,19.9941179944,ADM2,68,68,BDI,BDI-ADM2-21766830B15375912,Gihogazi,ADM2
69,0.4551410449594898,0.4293803814872768,0.4164645435517515,0.3373517323125239,142.765943323,139.031266646,139.772054968,130.549805922,19.5268845005,19.7131919325,19.4971230385,19.9679515076,ADM2,69,69,BDI,BDI-ADM2-21766830B16297131,Ruhororo,ADM2
70,0.46770873488236153,0.4478191218424248,0.44619716819494176,0.3758900341707988,153.682418282,152.687353534,151.118600749,144.668278525,20.6397062527,20.8210786147,20.5911770953,21.0411770635,ADM2,70,70,BDI,BDI-ADM2-21766830B33312668,Tangara,ADM2
71,0.44219704693199513,0.43139051579593646,0.42652564002196414,0.39267821798242614,155.911810806,159.941178961,157.823567114,149.980411133,20.9750003815,21.1583334605,20.9166673024,21.3666672707,ADM2,71,71,BDI,BDI-ADM2-21766830B915562,Vumbi,ADM2
72,0.4396659741989765,0.4229109712109709,0.42089783609317744,0.36585106218210656,158.33183735,158.181450373,155.946965876,150.353982174,20.5000003709,20.6805557675,20.4555561807,20.905556149,ADM2,72,72,BDI,BDI-ADM2-21766830B20162360,Kiremba,ADM2
73,0.4257209889848488,0.4189218161372343,0.41254248822537953,0.39755616556443985,156.529053683,160.430394125,161.672626527,151.618752921,21.0236248811,21.2000117103,20.9606607922,21.4037145106,ADM2,73,73,BDI,BDI-ADM2-21766830B35024785,Kirundo,ADM2
74,0.4365689493388688,0.4166504409817611,0.4385699146278253,0.39024294520222613,132.564266245,141.467752687,125.959180032,128.604969008,20.9201616804,21.1408606524,20.8494628088,21.3250005032,ADM2,74,74,BDI,BDI-ADM2-21766830B79910978,Cankuzo,ADM2
75,0.4915126932262527,0.4714796750808413,0.460410854814413,0.37312980233655146,138.367538103,129.713578793,133.253469264,130.956474267,20.5250002543,20.7416669528,20.4583338102,20.950000445,ADM2,75,75,BDI,BDI-ADM2-21766830B46588739,Mutumba,ADM2
76,0.5144858456543155,0.5022176136407966,0.49086960164519416,0.3945775968056776,147.067989996,136.906038381,130.633938269,129.041617162,20.592526516,20.8041912276,20.5271105626,21.0125247676,ADM2,76,76,BDI,BDI-ADM2-21766830B68127866,Buhiga,ADM2
77,0.50191224244428,0.48732925409588346,0.4783770134887644,0.3918065539058881,136.813666387,138.203578345,121.966113024,121.395260881,20.5250002543,20.7416669528,20.4583338102,20.950000445,ADM2,77,77,BDI,BDI-ADM2-21766830B76632773,Mwakiro,ADM2
78,0.49550309725328,0.48479480186789276,0.473199295048065,0.4075459458139477,148.260900738,152.722865598,146.994664034,140.146804454,20.9750003815,21.1583334605,20.9166673024,21.3666672707,ADM2,78,78,BDI,BDI-ADM2-21766830B90213241,Gasorwe,ADM2
79,0.4764150174534612,0.465242555306826,0.4627551377049644,0.4141015501213335,151.030747295,156.693205852,153.527544714,145.263831146,20.9750003815,21.1583334605,20.9166673024,21.3666672707,ADM2,79,79,BDI,BDI-ADM2-21766830B95484010,Gashoho,ADM2
80,0.4709242124765938,0.46611811673978076,0.46024101163959874,0.43057940547275864,158.092132654,159.729873076,155.719059806,148.600112533,20.9750003815,21.1583334605,20.9166673024,21.3666672707,ADM2,80,80,BDI,BDI-ADM2-21766830B91595976,Gitobe,ADM2
81,0.4766107526463223,0.4784109206970788,0.4535780318566399,0.4164361523010943,160.101053935,158.873663882,155.086015253,146.090894304,21.0297022185,21.20522087,20.9661593224,21.4083448631,ADM2,81,81,BDI,BDI-ADM2-21766830B77689302,Bwambarang,ADM2
82,0.40829360402901976,0.39931671103547617,0.38468955036227975,0.3616904505865393,152.65836583,158.55556017,160.25513127,147.267396437,20.1200664754,20.2945747247,20.0823211045,20.5293788774,ADM2,82,82,BDI,BDI-ADM2-21766830B37309285,Ntega,ADM2
83,0.38612082286295313,0.3778077788941502,0.37354578760162627,0.33963096724169445,155.084654251,156.101679707,159.519775579,147.531048369,20.0589289243,20.2369050444,20.0273815598,20.4773815281,ADM2,83,83,BDI,BDI-ADM2-21766830B27351477,Marangara,ADM2
